Time (s),Position X (m),Position Y (m),Velocity (m/s),Heading,Length (m),Width (m),Vehicle Number,TDM (s),MFD (m),EI (m/s)
0.340087,-1.75045,-27.6008,0.001867297,1.570152745,4.72,1.83,1,,,
0.340087,-145.336,-1.7,16.66666667,0.0,4.72,1.83,4,,,
0.35009,-1.75045,-27.6007,0.001523781,1.570152745,4.72,1.83,1,,,
0.35009,-145.17,-1.7,16.66666667,0.0,4.72,1.83,4,,,
0.360092,-1.75045,-27.6007,0.001194236,1.570152745,4.72,1.83,1,,,
0.360092,-145.003,-1.7,16.66666667,0.0,4.72,1.83,4,,,
0.370095,-1.75045,-27.6007,0.000892328,1.570152745,4.72,1.83,1,,,
0.370095,-144.835,-1.7,16.66666667,0.0,4.72,1.83,4,,,
0.380098,-1.75045,-27.6007,0.000625108,1.570152745,4.72,1.83,1,,,
0.380098,-144.668,-1.7,16.66666667,0.0,4.72,1.83,4,,,
0.3901,-1.75045,-27.6007,0.000394031,1.570152745,4.72,1.83,1,,,
0.3901,-144.501,-1.7,16.66666667,0.0,4.72,1.83,4,,,
0.400103,-1.75045,-27.6007,0.000194056,1.570152745,4.72,1.83,1,,,
0.400103,-144.334,-1.7,16.66666667,0.0,4.72,1.83,4,,,
0.410105,-1.75045,-27.6007,2.49e-05,1.570152745,4.72,1.83,1,,,
0.410105,-144.168,-1.7,16.66666667,0.0,4.72,1.83,4,,,
0.420108,-1.75045,-27.6007,-0.000103493,1.570152745,4.72,1.83,1,,,
0.420108,-144.001,-1.7,16.66666667,0.0,4.72,1.83,4,,,
0.43011,-1.75045,-27.6007,-0.000206204,1.570152745,4.72,1.83,1,,,
0.43011,-143.835,-1.7,16.66666667,0.0,4.72,1.83,4,,,
0.440113,-1.75045,-27.6007,-0.000282036,1.570152745,4.72,1.83,1,,,
0.440113,-143.668,-1.7,16.66666667,0.0,4.72,1.83,4,,,
0.450116,-1.75045,-27.6007,-0.000333639,1.570152745,4.72,1.83,1,,,
0.450116,-143.502,-1.7,16.66666667,0.0,4.72,1.83,4,,,
0.460118,-1.75045,-27.6007,-0.000364006,1.570152745,4.72,1.83,1,,,
