Time (s),Position X (m),Position Y (m),Velocity (m/s),Heading,Length (m),Width (m),Vehicle ID,Q_Veh_ID,TDM (s),InDepth (m),EI (m/s)
3.46,-26.6372,-1.7,16.6667,0.0,4.72,1.83,2,1,1.57,2.62,1.67
3.47,-1.3765,-12.8663,6.1559,1.5316,4.72,1.83,1,2,1.56,2.56,1.64
3.47,-26.4704,-1.7,16.6667,0.0,4.72,1.83,2,1,1.56,2.56,1.64
3.48,-1.3739,-12.8044,6.1125,1.5315,4.72,1.83,1,2,1.55,2.49,1.6
3.48,-26.3036,-1.7,16.6667,0.0,4.72,1.83,2,1,1.55,2.49,1.6
3.49,-1.3714,-12.7441,6.0697,1.5313,4.72,1.83,1,2,1.55,2.42,1.57
3.49,-26.1367,-1.7,16.6667,0.0,4.72,1.83,2,1,1.55,2.42,1.57
3.5,-1.3688,-12.6829,6.0247,1.5312,4.72,1.83,1,2,1.54,2.35,1.53
3.5,-25.9723,-1.7,16.6667,0.0,4.72,1.83,2,1,1.54,2.35,1.53
3.51,-1.3663,-12.6228,5.9794,1.5311,4.72,1.83,1,2,1.53,2.28,1.49
3.51,-25.8094,-1.7,16.6667,0.0,4.72,1.83,2,1,1.53,2.28,1.49
3.52,-1.3637,-12.563,5.9334,1.5309,4.72,1.83,1,2,1.52,2.21,1.46
3.52,-25.6465,-1.7,16.6667,0.0,4.72,1.83,2,1,1.52,2.21,1.46
3.53,-1.3613,-12.5055,5.8884,1.5308,4.72,1.83,1,2,1.51,2.14,1.42
3.53,-25.4836,-1.7,16.6667,0.0,4.72,1.83,2,1,1.51,2.14,1.42
3.54,-1.359,-12.451,5.8453,1.5307,4.72,1.83,1,2,1.5,2.07,1.38
3.54,-25.3207,-1.7,16.6667,0.0,4.72,1.83,2,1,1.5,2.07,1.38
3.55,-1.3563,-12.3887,5.7954,1.5305,4.72,1.83,1,2,1.49,2.0,1.34
3.55,-25.154,-1.7,16.6667,0.0,4.72,1.83,2,1,1.49,2.0,1.34
3.56,-1.3538,-12.3301,5.747,1.5304,4.72,1.83,1,2,1.48,1.93,1.3
3.56,-24.9835,-1.7,16.6667,0.0,4.72,1.83,2,1,1.48,1.93,1.3
3.57,-1.3513,-12.2738,5.6987,1.5303,4.72,1.83,1,2,1.47,1.85,1.26
3.57,-24.8129,-1.7,16.6667,0.0,4.72,1.83,2,1,1.47,1.85,1.26
3.58,-1.3489,-12.2174,5.649,1.5301,4.72,1.83,1,2,1.46,1.77,1.21
3.58,-24.6424,-1.7,16.6667,0.0,4.72,1.83,2,1,1.46,1.77,1.21
3.59,-1.3464,-12.1611,5.5982,1.53,4.72,1.83,1,2,1.45,1.7,1.17
3.59,-24.4718,-1.7,16.6667,0.0,4.72,1.83,2,1,1.45,1.7,1.17
3.6,-1.344,-12.1048,5.5459,1.5299,4.72,1.83,1,2,1.45,1.62,1.12
3.6,-24.3035,-1.7,16.6667,0.0,4.72,1.83,2,1,1.45,1.62,1.12
3.61,-1.3416,-12.0503,5.4939,1.5297,4.72,1.83,1,2,1.44,1.54,1.07
3.61,-24.1368,-1.7,16.6667,0.0,4.72,1.83,2,1,1.44,1.54,1.07
3.62,-1.3392,-11.9952,5.4403,1.5296,4.72,1.83,1,2,1.43,1.46,1.02
3.62,-23.97,-1.7,16.6667,0.0,4.72,1.83,2,1,1.43,1.46,1.02
3.63,-1.3368,-11.9409,5.3866,1.5295,4.72,1.83,1,2,1.42,1.38,0.97
3.63,-23.8032,-1.7,16.6667,0.0,4.72,1.83,2,1,1.42,1.38,0.97
3.64,-1.3344,-11.8879,5.3333,1.5294,4.72,1.83,1,2,1.41,1.3,0.92
3.64,-23.6365,-1.7,16.6667,0.0,4.72,1.83,2,1,1.41,1.3,0.92
3.65,-1.3321,-11.8347,5.2789,1.5292,4.72,1.83,1,2,1.4,1.22,0.87
3.65,-23.4697,-1.7,16.6667,0.0,4.72,1.83,2,1,1.4,1.22,0.87
3.66,-1.3297,-11.7821,5.2232,1.5291,4.72,1.83,1,2,1.39,1.14,0.82
3.66,-23.303,-1.7,16.6667,0.0,4.72,1.83,2,1,1.39,1.14,0.82
3.67,-1.3274,-11.7305,5.167,1.529,4.72,1.83,1,2,1.38,1.06,0.76
3.67,-23.1363,-1.7,16.6667,0.0,4.72,1.83,2,1,1.38,1.06,0.76
3.68,-1.3251,-11.6788,5.1092,1.5289,4.72,1.83,1,2,1.37,0.97,0.71
3.68,-22.9695,-1.7,16.6667,0.0,4.72,1.83,2,1,1.37,0.97,0.71
3.69,-1.3229,-11.6284,5.0514,1.5288,4.72,1.83,1,2,1.36,0.89,0.65
3.69,-22.8028,-1.7,16.6667,0.0,4.72,1.83,2,1,1.36,0.89,0.65
3.7,-1.3206,-11.5778,4.9919,1.5286,4.72,1.83,1,2,1.35,0.8,0.59
3.7,-22.6362,-1.7,16.6667,0.0,4.72,1.83,2,1,1.35,0.8,0.59
3.71,-1.3184,-11.5287,4.9331,1.5285,4.72,1.83,1,2,1.34,0.72,0.53
3.71,-22.4696,-1.7,16.6667,0.0,4.72,1.83,2,1,1.34,0.72,0.53
3.72,-1.3162,-11.4796,4.8734,1.5284,4.72,1.83,1,2,1.33,0.63,0.47
3.72,-22.3031,-1.7,16.6667,0.0,4.72,1.83,2,1,1.33,0.63,0.47
3.73,-1.314,-11.4318,4.8144,1.5283,4.72,1.83,1,2,1.32,0.55,0.41
3.73,-22.1365,-1.7,16.6667,0.0,4.72,1.83,2,1,1.32,0.55,0.41
3.74,-1.3118,-11.3839,4.7546,1.5282,4.72,1.83,1,2,1.31,0.47,0.35
3.74,-21.97,-1.7,16.6667,0.0,4.72,1.83,2,1,1.31,0.47,0.35
3.75,-1.3097,-11.3366,4.6946,1.5281,4.72,1.83,1,2,1.31,0.38,0.29
3.75,-21.8032,-1.7,16.6667,0.0,4.72,1.83,2,1,1.31,0.38,0.29
3.76,-1.3075,-11.2894,4.6335,1.528,4.72,1.83,1,2,1.3,0.3,0.23
3.76,-21.6364,-1.7,16.6667,0.0,4.72,1.83,2,1,1.3,0.3,0.23
3.77,-1.3054,-11.2433,4.5728,1.5279,4.72,1.83,1,2,1.29,0.21,0.16
3.77,-21.4696,-1.7,16.6667,0.0,4.72,1.83,2,1,1.29,0.21,0.16
3.78,-1.3033,-11.198,4.512,1.5277,4.72,1.83,1,2,1.28,0.13,0.1
3.78,-21.3028,-1.7,16.6667,0.0,4.72,1.83,2,1,1.28,0.13,0.1
3.79,-1.3013,-11.1538,4.4519,1.5276,4.72,1.83,1,2,1.27,0.04,0.03
3.79,-21.136,-1.7,16.6667,0.0,4.72,1.83,2,1,1.27,0.04,0.03
3.8,-1.2993,-11.1097,4.391,1.5275,4.72,1.83,1,2,1.26,-0.04,-0.03
3.8,-20.9695,-1.7,16.6667,0.0,4.72,1.83,2,1,1.26,-0.04,-0.03
3.81,-1.2973,-11.0665,4.3301,1.5274,4.72,1.83,1,2,1.25,-0.12,-0.1
3.81,-20.8034,-1.7,16.6667,0.0,4.72,1.83,2,1,1.25,-0.12,-0.1
3.82,-1.2952,-11.0231,4.2677,1.5273,4.72,1.83,1,2,1.24,-0.21,-0.17
3.82,-20.6372,-1.7,16.6667,0.0,4.72,1.83,2,1,1.24,-0.21,-0.17
3.83,-1.2933,-10.9811,4.2061,1.5272,4.72,1.83,1,2,1.23,-0.29,-0.24
3.83,-20.471,-1.7,16.6667,0.0,4.72,1.83,2,1,1.23,-0.29,-0.24
3.84,-1.2913,-10.9387,4.1427,1.5271,4.72,1.83,1,2,1.22,-0.37,-0.31
3.84,-20.3049,-1.7,16.6667,0.0,4.72,1.83,2,1,1.22,-0.37,-0.31
3.85,-1.2894,-10.8978,4.0802,1.5271,4.72,1.83,1,2,1.21,-0.46,-0.38
3.85,-20.1381,-1.7,16.6667,0.0,4.72,1.83,2,1,1.21,-0.46,-0.38
3.86,-1.2875,-10.8576,4.0175,1.527,4.72,1.83,1,2,1.2,-0.54,-0.45
3.86,-19.9709,-1.7,16.6667,0.0,4.72,1.83,2,1,1.2,-0.54,-0.45
3.87,-1.2857,-10.8181,3.955,1.5269,4.72,1.83,1,2,1.19,-0.62,-0.52
3.87,-19.8037,-1.7,16.6667,0.0,4.72,1.83,2,1,1.19,-0.62,-0.52
3.88,-1.2838,-10.7785,3.8913,1.5268,4.72,1.83,1,2,1.18,-0.71,-0.6
3.88,-19.6365,-1.7,16.6667,0.0,4.72,1.83,2,1,1.18,-0.71,-0.6
3.89,-1.282,-10.7404,3.8288,1.5267,4.72,1.83,1,2,1.17,-0.79,-0.67
3.89,-19.4693,-1.7,16.6667,0.0,4.72,1.83,2,1,1.17,-0.79,-0.67
3.9,-1.2802,-10.7019,3.7646,1.5266,4.72,1.83,1,2,1.16,-0.87,-0.75
3.9,-19.3023,-1.7,16.6667,0.0,4.72,1.83,2,1,1.16,-0.87,-0.75
3.91,-1.2785,-10.6646,3.701,1.5265,4.72,1.83,1,2,1.15,-0.95,-0.83
3.91,-19.1356,-1.7,16.6667,0.0,4.72,1.83,2,1,1.15,-0.95,-0.83
3.92,-1.2767,-10.6278,3.6367,1.5264,4.72,1.83,1,2,1.14,-1.03,-0.91
3.92,-18.9689,-1.7,16.6667,0.0,4.72,1.83,2,1,1.14,-1.03,-0.91
3.93,-1.275,-10.5917,3.5712,1.5263,4.72,1.83,1,2,1.13,-1.12,-0.99
3.93,-18.8021,-1.7,16.6667,0.0,4.72,1.83,2,1,1.13,-1.12,-0.99
3.94,-1.2733,-10.5565,3.5044,1.5263,4.72,1.83,1,2,1.12,-1.2,-1.08
3.94,-18.6354,-1.7,16.6667,0.0,4.72,1.83,2,1,1.12,-1.2,-1.08
3.95,-1.2717,-10.5214,3.4354,1.5262,4.72,1.83,1,2,1.1,-1.29,-1.16
3.95,-18.4687,-1.7,16.6667,0.0,4.72,1.83,2,1,1.1,-1.29,-1.16
3.96,-1.2701,-10.4879,3.3679,1.5261,4.72,1.83,1,2,1.09,-1.37,-1.25
3.96,-18.3019,-1.7,16.6667,0.0,4.72,1.83,2,1,1.09,-1.37,-1.25
3.97,-1.2685,-10.4547,3.2991,1.526,4.72,1.83,1,2,1.08,-1.45,-1.34
3.97,-18.1351,-1.7,16.6667,0.0,4.72,1.83,2,1,1.08,-1.45,-1.34
3.98,-1.2669,-10.4225,3.2307,1.526,4.72,1.83,1,2,1.07,-1.54,-1.43
3.98,-17.9684,-1.7,16.6667,0.0,4.72,1.83,2,1,1.07,-1.54,-1.43
3.99,-1.2654,-10.3905,3.1611,1.5259,4.72,1.83,1,2,1.06,-1.62,-1.53
3.99,-17.8016,-1.7,16.6667,0.0,4.72,1.83,2,1,1.06,-1.62,-1.53
4.0,-1.2639,-10.3587,3.0904,1.5258,4.72,1.83,1,2,1.05,-1.71,-1.62
4.0,-17.6352,-1.7,16.6667,0.0,4.72,1.83,2,1,1.05,-1.71,-1.62
4.01,-1.2624,-10.3286,3.0218,1.5257,4.72,1.83,1,2,1.04,-1.79,-1.72
4.01,-17.4691,-1.7,16.6667,0.0,4.72,1.83,2,1,1.04,-1.79,-1.72
4.02,-1.261,-10.299,2.9526,1.5257,4.72,1.83,1,2,1.03,-1.87,-1.82
4.02,-17.303,-1.7,16.6667,0.0,4.72,1.83,2,1,1.03,-1.87,-1.82
4.03,-1.2596,-10.2701,2.8835,1.5256,4.72,1.83,1,2,1.02,-1.95,-1.92
4.03,-17.1368,-1.7,16.6667,0.0,4.72,1.83,2,1,1.02,-1.95,-1.92
4.04,-1.2582,-10.2412,2.8123,1.5255,4.72,1.83,1,2,1.01,-2.04,-2.02
4.04,-16.9707,-1.7,16.6667,0.0,4.72,1.83,2,1,1.01,-2.04,-2.02
4.05,-1.2569,-10.2138,2.7433,1.5255,4.72,1.83,1,2,1.0,-2.12,-2.12
4.05,-16.8039,-1.7,16.6667,0.0,4.72,1.83,2,1,1.0,-2.12,-2.12
4.06,-1.2556,-10.1865,2.6739,1.5254,4.72,1.83,1,2,0.99,-2.2,-2.23
4.06,-16.6366,-1.7,16.6667,0.0,4.72,1.83,2,1,0.99,-2.2,-2.23
4.07,-1.2543,-10.1603,2.6085,1.5254,4.72,1.83,1,2,0.98,-2.27,-2.33
4.07,-16.4694,-1.7,16.6667,0.0,4.72,1.83,2,1,0.98,-2.27,-2.33
4.08,-1.253,-10.1342,2.5429,1.5253,4.72,1.83,1,2,0.96,-2.35,-2.43
4.08,-16.3021,-1.7,16.6667,0.0,4.72,1.83,2,1,0.96,-2.35,-2.43
4.09,-1.2518,-10.1089,2.4782,1.5252,4.72,1.83,1,2,0.95,-2.42,-2.54
4.09,-16.1349,-1.7,16.6667,0.0,4.72,1.83,2,1,0.95,-2.42,-2.54
4.1,-1.2506,-10.0847,2.4151,1.5252,4.72,1.83,1,2,0.94,-2.49,-2.64
4.1,-15.9682,-1.7,16.6667,0.0,4.72,1.83,2,1,0.94,-2.49,-2.64
4.11,-1.2495,-10.0612,2.3529,1.5251,4.72,1.83,1,2,0.93,-2.56,-2.75
4.11,-15.8019,-1.7,16.6667,0.0,4.72,1.83,2,1,0.93,-2.56,-2.75
4.12,-1.2483,-10.0379,2.2901,1.5251,4.72,1.83,1,2,0.92,-2.63,-2.85
4.12,-15.6356,-1.7,16.6667,0.0,4.72,1.83,2,1,0.92,-2.63,-2.85
4.13,-1.2472,-10.0155,2.2282,1.525,4.72,1.83,1,2,0.91,-2.7,-2.96
4.13,-15.4693,-1.7,16.6667,0.0,4.72,1.83,2,1,0.91,-2.7,-2.96
4.14,-1.2462,-9.9935,2.1657,1.525,4.72,1.83,1,2,0.9,-2.76,-3.07
4.14,-15.303,-1.7,16.6667,0.0,4.72,1.83,2,1,0.9,-2.76,-3.07
4.15,-1.2451,-9.9723,2.1045,1.5249,4.72,1.83,1,2,0.89,-2.83,-3.19
4.15,-15.1364,-1.7,16.6667,0.0,4.72,1.83,2,1,0.89,-2.83,-3.19
4.16,-1.2441,-9.9512,2.0428,1.5249,4.72,1.83,1,2,0.88,-2.89,-3.3
4.16,-14.9696,-1.7,16.6667,0.0,4.72,1.83,2,1,0.88,-2.89,-3.3
4.17,-1.2431,-9.9317,1.9843,1.5248,4.72,1.83,1,2,0.87,-2.95,-3.41
4.17,-14.8028,-1.7,16.6667,0.0,4.72,1.83,2,1,0.87,-2.95,-3.41
4.18,-1.2422,-9.912,1.9236,1.5248,4.72,1.83,1,2,0.85,-3.02,-3.53
4.18,-14.636,-1.7,16.6667,0.0,4.72,1.83,2,1,0.85,-3.02,-3.53
4.19,-1.2412,-9.8931,1.8638,1.5248,4.72,1.83,1,2,0.84,-3.08,-3.65
4.19,-14.4692,-1.7,16.6667,0.0,4.72,1.83,2,1,0.84,-3.08,-3.65
4.2,-1.2403,-9.8746,1.8035,1.5247,4.72,1.83,1,2,0.83,-3.14,-3.78
4.2,-14.3025,-1.7,16.6667,0.0,4.72,1.83,2,1,0.83,-3.14,-3.78
4.21,-1.2394,-9.8569,1.7451,1.5247,4.72,1.83,1,2,0.82,-3.2,-3.9
4.21,-14.1358,-1.7,16.6667,0.0,4.72,1.83,2,1,0.82,-3.2,-3.9
4.22,-1.2386,-9.8397,1.6897,1.5246,4.72,1.83,1,2,0.81,-3.25,-4.02
4.22,-13.9692,-1.7,16.6667,0.0,4.72,1.83,2,1,0.81,-3.25,-4.02
4.23,-1.2378,-9.8233,1.6376,1.5246,4.72,1.83,1,2,0.8,-3.3,-4.14
4.23,-13.8026,-1.7,16.6667,0.0,4.72,1.83,2,1,0.8,-3.3,-4.14
4.24,-1.237,-9.8074,1.5871,1.5246,4.72,1.83,1,2,0.79,-3.35,-4.26
4.24,-13.636,-1.7,16.6667,0.0,4.72,1.83,2,1,0.79,-3.35,-4.26
4.25,-1.2362,-9.7911,1.5417,1.5245,4.72,1.83,1,2,0.78,-3.4,-4.38
4.25,-13.4694,-1.7,16.6667,0.0,4.72,1.83,2,1,0.78,-3.4,-4.38
4.26,-1.2355,-9.7765,1.5122,1.5245,4.72,1.83,1,2,0.77,-3.43,-4.48
4.26,-13.3027,-1.7,16.6667,0.0,4.72,1.83,2,1,0.77,-3.43,-4.48
4.27,-1.2348,-9.7614,1.4837,1.5245,4.72,1.83,1,2,0.75,-3.45,-4.58
4.27,-13.136,-1.7,16.6667,0.0,4.72,1.83,2,1,0.75,-3.45,-4.58
4.28,-1.234,-9.7468,1.458,1.5244,4.72,1.83,1,2,0.74,-3.48,-4.67
4.28,-12.9693,-1.7,16.6667,0.0,4.72,1.83,2,1,0.74,-3.48,-4.67
4.29,-1.2333,-9.7323,1.4337,1.5244,4.72,1.83,1,2,0.73,-3.5,-4.77
4.29,-12.8026,-1.7,16.6667,0.0,4.72,1.83,2,1,0.73,-3.5,-4.77
4.3,-1.2326,-9.7181,1.4111,1.5244,4.72,1.83,1,2,0.72,-3.52,-4.87
4.3,-12.6358,-1.7,16.6667,0.0,4.72,1.83,2,1,0.72,-3.52,-4.87
4.31,-1.2319,-9.7041,1.3944,1.5243,4.72,1.83,1,2,0.71,-3.54,-4.96
4.31,-12.469,-1.7,16.6667,0.0,4.72,1.83,2,1,0.71,-3.54,-4.96
4.32,-1.2312,-9.6902,1.3855,1.5243,4.72,1.83,1,2,0.7,-3.54,-5.05
4.32,-12.3022,-1.7,16.6667,0.0,4.72,1.83,2,1,0.7,-3.54,-5.05
4.33,-1.2306,-9.6764,1.3816,1.5243,4.72,1.83,1,2,0.69,-3.55,-5.13
4.33,-12.1353,-1.7,16.6667,0.0,4.72,1.83,2,1,0.69,-3.55,-5.13
4.34,-1.2299,-9.6628,1.3801,1.5243,4.72,1.83,1,2,0.68,-3.55,-5.2
4.34,-11.9685,-1.7,16.6667,0.0,4.72,1.83,2,1,0.68,-3.55,-5.2
4.35,-1.2292,-9.649,1.3798,1.5242,4.72,1.83,1,2,0.67,-3.55,-5.28
4.35,-11.8015,-1.7,16.6667,0.0,4.72,1.83,2,1,0.67,-3.55,-5.28
4.36,-1.2285,-9.6351,1.3803,1.5242,4.72,1.83,1,2,0.66,-3.55,-5.36
4.36,-11.6344,-1.7,16.6667,0.0,4.72,1.83,2,1,0.66,-3.55,-5.36
4.37,-1.2278,-9.6213,1.3812,1.5242,4.72,1.83,1,2,0.65,-3.55,-5.44
4.37,-11.4674,-1.7,16.6667,0.0,4.72,1.83,2,1,0.65,-3.55,-5.44
4.38,-1.2272,-9.6077,1.3823,1.5241,4.72,1.83,1,2,0.64,-3.55,-5.52
4.38,-11.3003,-1.7,16.6667,0.0,4.72,1.83,2,1,0.64,-3.55,-5.52
4.39,-1.2265,-9.594,1.3835,1.5241,4.72,1.83,1,2,0.63,-3.55,-5.61
4.39,-11.1332,-1.7,16.6667,0.0,4.72,1.83,2,1,0.63,-3.55,-5.61
4.4,-1.2258,-9.58,1.3847,1.5241,4.72,1.83,1,2,0.62,-3.54,-5.7
4.4,-10.9664,-1.7,16.6667,0.0,4.72,1.83,2,1,0.62,-3.54,-5.7
4.41,-1.2251,-9.5661,1.3859,1.524,4.72,1.83,1,2,0.61,-3.54,-5.79
4.41,-10.7997,-1.7,16.6667,0.0,4.72,1.83,2,1,0.61,-3.54,-5.79
4.42,-1.2244,-9.5523,1.3871,1.524,4.72,1.83,1,2,0.6,-3.54,-5.88
4.42,-10.633,-1.7,16.6667,0.0,4.72,1.83,2,1,0.6,-3.54,-5.88
4.43,-1.2237,-9.5385,1.3883,1.524,4.72,1.83,1,2,0.59,-3.54,-5.98
4.43,-10.4663,-1.7,16.6667,0.0,4.72,1.83,2,1,0.59,-3.54,-5.98
4.44,-1.223,-9.5244,1.3894,1.5239,4.72,1.83,1,2,0.58,-3.54,-6.08
4.44,-10.2996,-1.7,16.6667,0.0,4.72,1.83,2,1,0.58,-3.54,-6.08
4.45,-1.2224,-9.5107,1.3905,1.5239,4.72,1.83,1,2,0.57,-3.54,-6.19
4.45,-10.1329,-1.7,16.6667,0.0,4.72,1.83,2,1,0.57,-3.54,-6.19
4.46,-1.2217,-9.4968,1.3915,1.5239,4.72,1.83,1,2,0.56,-3.54,-6.3
4.46,-9.9662,-1.7,16.6667,0.0,4.72,1.83,2,1,0.56,-3.54,-6.3
4.47,-1.221,-9.483,1.3925,1.5239,4.72,1.83,1,2,0.55,-3.54,-6.41
4.47,-9.7995,-1.7,16.6667,0.0,4.72,1.83,2,1,0.55,-3.54,-6.41
4.48,-1.2203,-9.4689,1.3934,1.5238,4.72,1.83,1,2,0.54,-3.54,-6.53
4.48,-9.6328,-1.7,16.6667,0.0,4.72,1.83,2,1,0.54,-3.54,-6.53
4.49,-1.2196,-9.4551,1.3943,1.5238,4.72,1.83,1,2,0.53,-3.54,-6.65
4.49,-9.466,-1.7,16.6667,0.0,4.72,1.83,2,1,0.53,-3.54,-6.65
4.5,-1.2189,-9.4411,1.3951,1.5238,4.72,1.83,1,2,0.52,-3.54,-6.77
4.5,-9.2994,-1.7,16.6667,0.0,4.72,1.83,2,1,0.52,-3.54,-6.77
4.51,-1.2182,-9.4273,1.3959,1.5237,4.72,1.83,1,2,0.51,-3.54,-6.9
4.51,-9.1328,-1.7,16.6667,0.0,4.72,1.83,2,1,0.51,-3.54,-6.9
4.52,-1.2175,-9.4133,1.3966,1.5237,4.72,1.83,1,2,0.5,-3.54,-7.04
4.52,-8.9662,-1.7,16.6667,0.0,4.72,1.83,2,1,0.5,-3.54,-7.04
4.53,-1.2168,-9.3995,1.3973,1.5237,4.72,1.83,1,2,0.49,-3.54,-7.18
4.53,-8.7996,-1.7,16.6667,0.0,4.72,1.83,2,1,0.49,-3.54,-7.18
4.54,-1.2161,-9.3855,1.3979,1.5236,4.72,1.83,1,2,0.48,-3.54,-7.33
4.54,-8.633,-1.7,16.6667,0.0,4.72,1.83,2,1,0.48,-3.54,-7.33
4.55,-1.2154,-9.3715,1.3985,1.5236,4.72,1.83,1,2,0.47,-3.53,-7.48
4.55,-8.4662,-1.7,16.6667,0.0,4.72,1.83,2,1,0.47,-3.53,-7.48
4.56,-1.2147,-9.3573,1.399,1.5236,4.72,1.83,1,2,0.46,-3.53,-7.64
4.56,-8.2994,-1.7,16.6667,0.0,4.72,1.83,2,1,0.46,-3.53,-7.64
4.57,-1.214,-9.3433,1.3996,1.5235,4.72,1.83,1,2,0.45,-3.53,-7.81
4.57,-8.1325,-1.7,16.6667,0.0,4.72,1.83,2,1,0.45,-3.53,-7.81
4.58,-1.2133,-9.3296,1.4001,1.5235,4.72,1.83,1,2,0.44,-3.53,-7.99
4.58,-7.9656,-1.7,16.6667,0.0,4.72,1.83,2,1,0.44,-3.53,-7.99
4.59,-1.2126,-9.3157,1.4006,1.5235,4.72,1.83,1,2,0.43,-3.53,-8.17
4.59,-7.7988,-1.7,16.6667,0.0,4.72,1.83,2,1,0.43,-3.53,-8.17
4.6,-1.2119,-9.3014,1.4011,1.5235,4.72,1.83,1,2,0.42,-3.53,-8.37
4.6,-7.6321,-1.7,16.6667,0.0,4.72,1.83,2,1,0.42,-3.53,-8.37
4.61,-1.2112,-9.2877,1.4016,1.5234,4.72,1.83,1,2,0.41,-3.53,-8.57
4.61,-7.4655,-1.7,16.6667,0.0,4.72,1.83,2,1,0.41,-3.53,-8.57
4.62,-1.2104,-9.2735,1.4022,1.5234,4.72,1.83,1,2,0.4,-3.53,-8.78
4.62,-7.2989,-1.7,16.6667,0.0,4.72,1.83,2,1,0.4,-3.53,-8.78
4.63,-1.2097,-9.2596,1.4029,1.5234,4.72,1.83,1,2,0.39,-3.53,-9.0
4.63,-7.1323,-1.7,16.6667,0.0,4.72,1.83,2,1,0.39,-3.53,-9.0
4.64,-1.209,-9.2456,1.4036,1.5233,4.72,1.83,1,2,0.38,-3.53,-9.24
4.64,-6.9657,-1.7,16.6667,0.0,4.72,1.83,2,1,0.38,-3.53,-9.24
4.65,-1.2083,-9.2318,1.4043,1.5233,4.72,1.83,1,2,0.37,-3.53,-9.48
4.65,-6.7991,-1.7,16.6667,0.0,4.72,1.83,2,1,0.37,-3.53,-9.48
4.66,-1.2076,-9.2177,1.4051,1.5233,4.72,1.83,1,2,0.36,-3.53,-9.74
4.66,-6.6324,-1.7,16.6667,0.0,4.72,1.83,2,1,0.36,-3.53,-9.74
4.67,-1.2069,-9.2035,1.4061,1.5232,4.72,1.83,1,2,,,
4.67,-6.4657,-1.7,16.6667,0.0,4.72,1.83,2,1,,,
4.68,-1.2062,-9.1894,1.4071,1.5232,4.72,1.83,1,2,,,
4.68,-6.299,-1.7,16.6667,0.0,4.72,1.83,2,1,,,
4.69,-1.2055,-9.1754,1.4082,1.5232,4.72,1.83,1,2,,,
4.69,-6.1323,-1.7,16.6667,0.0,4.72,1.83,2,1,,,
4.7,-1.2048,-9.1613,1.4096,1.5231,4.72,1.83,1,2,,,
4.7,-5.9659,-1.7,16.6667,0.0,4.72,1.83,2,1,,,
4.71,-1.204,-9.1472,1.4111,1.5231,4.72,1.83,1,2,,,
4.71,-5.7996,-1.7,16.6667,0.0,4.72,1.83,2,1,,,
4.72,-1.2033,-9.133,1.4127,1.5231,4.72,1.83,1,2,,,
4.72,-5.6333,-1.7,16.6667,0.0,4.72,1.83,2,1,,,
4.73,-1.2026,-9.1194,1.4145,1.523,4.72,1.83,1,2,,,
4.73,-5.467,-1.7,16.6667,0.0,4.72,1.83,2,1,,,
4.74,-1.2019,-9.1052,1.4165,1.523,4.72,1.83,1,2,,,
4.74,-5.3008,-1.7,16.6667,0.0,4.72,1.83,2,1,,,
4.75,-1.2012,-9.091,1.4186,1.523,4.72,1.83,1,2,,,
4.75,-5.134,-1.7,16.6667,0.0,4.72,1.83,2,1,,,
4.76,-1.2005,-9.0765,1.4211,1.523,4.72,1.83,1,2,,,
4.76,-4.9669,-1.7,16.6667,0.0,4.72,1.83,2,1,,,
4.77,-1.1997,-9.0623,1.4237,1.5229,4.72,1.83,1,2,,,
4.77,-4.7998,-1.7,16.6667,0.0,4.72,1.83,2,1,,,
4.78,-1.199,-9.0482,1.4265,1.5229,4.72,1.83,1,2,,,
4.78,-4.6327,-1.7,16.6667,0.0,4.72,1.83,2,1,,,
4.79,-1.1983,-9.034,1.4296,1.5229,4.72,1.83,1,2,,,
4.79,-4.4656,-1.7,16.6667,0.0,4.72,1.83,2,1,,,
4.8,-1.1976,-9.0197,1.4329,1.5228,4.72,1.83,1,2,,,
4.8,-4.2988,-1.7,16.6667,0.0,4.72,1.83,2,1,,,
4.81,-1.1968,-9.0053,1.4366,1.5228,4.72,1.83,1,2,,,
4.81,-4.132,-1.7,16.6667,0.0,4.72,1.83,2,1,,,
4.82,-1.1961,-8.9911,1.4406,1.5228,4.72,1.83,1,2,,,
4.82,-3.9653,-1.7,16.6667,0.0,4.72,1.83,2,1,,,
4.83,-1.1954,-8.9766,1.4451,1.5227,4.72,1.83,1,2,,,
4.83,-3.7986,-1.7,16.6667,0.0,4.72,1.83,2,1,,,
4.84,-1.1946,-8.9619,1.4502,1.5227,4.72,1.83,1,2,,,
4.84,-3.6319,-1.7,16.6667,0.0,4.72,1.83,2,1,,,
4.85,-1.1939,-8.9474,1.4556,1.5227,4.72,1.83,1,2,,,
4.85,-3.4654,-1.7,16.6667,0.0,4.72,1.83,2,1,,,
4.86,-1.1931,-8.933,1.4614,1.5226,4.72,1.83,1,2,,,
4.86,-3.299,-1.7,16.6667,0.0,4.72,1.83,2,1,,,
4.87,-1.1924,-8.9187,1.4675,1.5226,4.72,1.83,1,2,,,
4.87,-3.1327,-1.7,16.6667,0.0,4.72,1.83,2,1,,,
4.88,-1.1916,-8.9038,1.4743,1.5226,4.72,1.83,1,2,,,
4.88,-2.9664,-1.7,16.6667,0.0,4.72,1.83,2,1,,,
4.89,-1.1909,-8.8892,1.4814,1.5225,4.72,1.83,1,2,,,
